type,fixed_acidity,volatile_acidity,citric_acid,density,pH,sulphates,alcohol,quality
white,7.2,0.24,0.27,0.9927,3.15,0.46,10.3,6
white,6.2,0.35,0.03,0.9934,3.22,0.54,9.1,5
white,6.4,0.26,0.24,0.9903,3.22,0.49,12.6,7
white,6.7,0.25,0.13,0.992,3.14,0.42,9.8,5
white,6.7,0.23,0.31,0.9926,3.33,0.64,10.7,8
white,7.4,0.24,0.29,0.9962,3.13,0.35,9.5,5
white,6.2,0.27,0.43,0.9956,3.1,0.51,9,6
white,6.8,0.3,0.23,0.9958,3.32,0.6,9.5,5
white,6,0.27,0.28,0.9964,3.69,0.71,10,5
white,8.6,0.23,0.46,0.9941,2.95,0.49,9.1,6
white,6.7,0.23,0.31,0.9926,3.33,0.64,10.7,8
white,7.4,0.24,0.29,0.9962,3.13,0.35,9.5,5
white,7.1,0.18,0.36,0.9898,3.26,0.37,12.7,7
white,7,0.32,0.34,0.9912,3.31,0.65,12,7
white,7.4,0.18,0.3,0.9961,2.94,0.56,9.3,5
white,6.7,0.54,0.28,0.9949,3.27,0.37,9,5
white,6.8,0.22,0.31,0.9929,3.39,0.77,10.6,6
white,7.1,0.2,0.34,0.9985,3.21,0.6,9.2,6
white,7.1,0.34,0.2,0.9946,3.17,0.42,10,5
white,7.3,0.22,0.3,0.9966,3.33,0.46,9.5,6
white,7.1,0.43,0.61,0.9974,3.11,0.45,8.7,5
white,7.1,0.44,0.62,0.9975,3.12,0.46,8.7,6
white,7.2,,0.63,0.9974,3.09,0.44,8.7,6
white,6.8,0.25,0.31,0.9972,3.22,0.48,9.7,6
white,7.1,0.43,0.61,0.9974,3.11,0.45,8.7,5
white,7.1,0.44,0.62,0.9975,3.12,0.46,8.7,6
white,7.2,0.39,0.63,0.9974,3.09,0.44,8.7,6
white,6.1,0.27,0.43,0.9957,3.12,0.47,9,5
white,6.9,0.24,0.33,0.99,3.26,0.4,12.6,7
white,6.9,0.21,0.33,0.9899,3.25,0.41,12.6,7
white,7.5,0.17,0.32,0.9916,3.21,0.44,11.5,7
white,7.1,0.26,0.29,0.9969,3.04,0.42,9.2,6
white,6,0.34,0.66,0.9979,3.14,0.5,8.8,6
white,8.6,0.265,0.36,0.9913,2.95,0.36,11.4,7
white,9.8,0.36,0.46,0.9956,2.89,0.3,10.1,4
white,6,0.34,0.66,0.9979,3.14,0.5,8.8,6
white,7.4,0.25,0.37,0.9975,3,0.44,9.1,5
white,7.1,0.12,0.32,0.9962,3.4,0.41,9.4,5
white,6,0.21,0.24,0.997,3.34,0.39,9.4,5
white,7.5,0.305,0.4,1,2.99,0.46,9,5
white,7.4,0.25,0.37,0.9975,3,0.44,9.1,5
white,7.3,0.13,0.32,0.9974,3.2,0.35,9.2,6
white,7.1,0.12,0.32,0.9962,3.4,0.41,9.4,5
white,7.1,0.23,0.35,0.999,3.16,0.59,9.1,6
white,7.1,0.23,0.35,0.999,3.16,0.59,9.1,6
white,6.9,0.33,0.28,0.9927,3.27,0.6,10.3,5
white,6.5,0.17,0.54,0.9959,2.89,0.39,8.8,6
white,7.2,0.27,0.46,1,3.04,0.52,8.9,5
white,7.2,0.31,0.5,0.9982,3.01,0.47,9.2,5
white,6.7,0.41,0.34,0.9968,3.22,0.51,9.1,5
white,6.7,0.41,0.34,0.9968,3.22,0.51,9.1,5
white,5.5,0.485,0,0.994,3.63,0.4,9.7,4
white,6,0.31,0.24,0.9914,3.31,0.44,11.3,6
white,7,0.14,0.4,0.9911,3.19,0.42,11.8,6
white,7.2,0.31,0.5,0.9982,3.01,0.47,9.2,5
white,7.3,0.32,0.48,0.9982,3.04,0.5,9.2,5
white,5.9,0.36,0.04,0.9934,3.22,0.51,10.2,5
white,7.8,0.24,0.32,0.9984,3.01,0.54,8.8,5
white,7.4,0.16,0.31,0.9952,3.29,0.34,9.7,5
white,6.9,0.19,0.28,0.9952,3.29,0.36,9.1,6
white,6.4,0.13,0.47,0.9928,3.21,0.36,9.8,6
white,6.7,0.19,0.36,0.9912,3.27,0.48,11,6
white,7.4,0.39,0.23,0.994,3.14,0.42,10.5,5
white,6.5,0.24,0.32,0.9958,3.45,0.54,9.7,7
white,6.1,0.3,0.56,0.9924,3.3,0.57,10.9,7
white,6.1,0.3,0.56,0.9924,3.31,0.57,10.9,6
white,5.7,0.26,0.25,0.994,3.39,0.37,10.6,5
white,6.5,0.24,0.32,0.9958,3.45,0.54,9.7,7
white,6.5,0.425,0.4,0.9979,3.23,0.57,9,5
white,6.6,0.24,0.27,0.9982,3.24,0.51,9.2,5
white,6.8,0.27,0.22,0.9961,3.19,0.52,8.9,5
white,6.7,0.27,0.31,0.9979,3.26,0.56,9.6,5
white,8.2,0.23,0.4,0.992,3.12,0.38,10.7,6
white,7.1,0.37,0.67,0.9975,3.16,0.44,8.7,5
white,6.8,0.19,0.36,0.9917,3.15,0.54,10.8,7
white,8.1,0.28,0.39,0.9923,,0.52,11.8,6
white,6.3,0.31,0.34,0.9927,3.3,0.43,10.2,5
white,7.1,0.37,0.67,0.9975,3.16,0.44,8.7,5
white,7.9,0.21,0.4,0.992,3.21,0.54,10.8,6
white,8.5,0.21,0.41,0.9947,3.18,0.53,9.7,6
white,8.1,0.2,0.4,0.9921,3.12,0.54,11.2,6
white,6.3,0.255,0.37,0.9905,3,0.39,10.9,6
white,5.6,0.16,0.27,0.9918,3.28,0.37,10.1,6
white,6.4,0.595,0.14,0.9951,3.38,0.36,9,4
white,6.3,0.34,0.33,0.9917,3.38,0.58,12,7
white,6.9,0.25,0.3,0.994,2.99,0.38,9.4,6
white,7.9,0.22,0.38,0.9934,3.12,0.32,11.5,7
white,7.6,0.18,0.46,0.9968,3.14,0.43,9.9,6
white,6.9,0.25,0.3,0.994,2.99,0.38,9.4,6
white,7.2,0.18,0.41,0.9919,3.14,0.45,10.4,5
white,8.2,0.23,0.4,0.9966,3.06,0.84,9.7,6
white,7.4,0.24,0.42,0.9979,2.89,0.42,8.9,6
white,7.4,0.24,0.42,0.9979,2.89,0.42,8.9,6
white,6.1,0.32,0.24,0.9898,3.29,0.42,12.4,7
white,5.2,0.44,0.04,0.9894,3.36,0.33,12.1,8
white,5.2,0.44,0.04,0.9894,3.36,0.33,12.1,8
white,6.1,0.32,0.24,0.9898,3.29,0.42,12.4,7
white,6.4,0.22,0.56,0.998,2.98,0.4,9.1,5
white,6.3,0.36,0.3,0.9932,3.28,0.39,10.6,5
white,7.4,0.24,0.42,0.9979,2.89,0.42,8.9,6
white,6.7,0.24,0.35,0.997,3.15,0.5,9.5,5
white,7,0.23,0.36,0.9972,3.16,0.49,9.8,5
white,8.4,0.27,0.46,0.9974,3.14,0.59,9.6,6
white,6.7,0.46,0.18,0.9896,3.08,0.44,12.6,7
white,7.5,0.29,0.31,0.9968,3.08,0.54,9.3,5
white,9.8,0.42,0.48,0.9958,2.87,0.29,10,5
white,7.1,0.3,0.46,0.9906,3.12,0.54,12.7,6
white,7.9,0.19,0.45,0.9917,3.13,0.39,11,6
white,7.6,0.48,0.37,0.9902,3.03,0.39,11.4,4
white,6.3,0.22,0.43,0.9918,3.35,0.33,11.5,7
white,,0.27,0.31,0.999,3.09,0.64,10.2,5
white,6.9,0.23,0.4,0.9927,3.11,0.27,11.4,6
white,7.2,0.32,0.47,0.991,3.03,0.41,12.6,4
white,5.9,0.23,0.3,0.9972,3.28,0.39,9.4,5
white,6,0.67,0.07,0.9931,3.11,0.35,8.7,4
white,6.4,0.25,0.32,0.995,3.19,0.68,9.2,6
white,6.4,0.33,0.31,0.9951,3.19,0.66,9.3,6
white,7.1,0.34,0.15,0.9936,3.09,0.43,9.2,5
white,6.8,0.28,0.4,1.001,2.93,0.5,8.7,5
white,6.9,0.27,0.4,0.9979,3.18,0.58,9.6,6
white,6.8,0.26,0.56,0.997,3.02,0.63,9.3,5
white,6.8,0.29,0.56,0.9972,3.02,0.63,9.3,5
white,6.7,0.24,0.41,0.9954,3.12,0.61,9.9,6
white,5.9,0.3,0.23,0.9924,3.15,0.5,11,5
white,6.8,0.53,0.35,0.9906,3.26,0.57,12.7,8
white,6.5,0.28,0.28,0.9962,3.09,0.54,8.9,4
white,6.6,0.28,0.28,0.9962,3.09,0.55,8.9,6
white,6.8,0.28,0.4,1.001,2.93,0.5,8.7,5
white,6.8,0.28,0.36,0.9928,3.02,0.37,11.4,6
white,6.6,0.15,0.34,0.9942,3.36,0.42,9.6,5
white,6.4,0.29,0.44,0.9942,3.02,0.41,9.1,5
white,6.4,0.3,0.45,0.9942,3.02,0.39,9.1,6
white,6.4,0.29,0.44,0.9942,3.01,0.38,9.1,5
white,6.8,0.26,0.24,0.9961,3.13,0.47,8.9,5
white,7.1,0.32,0.24,0.998,3.1,0.49,8.8,5
white,6.8,0.26,0.24,0.9961,3.13,0.47,8.9,5
white,6.8,0.27,0.26,0.9984,3.15,0.5,9.3,5
white,7.1,0.32,0.24,0.998,3.1,0.49,8.8,5
white,6.9,0.54,0.32,0.9973,3.2,0.5,9.6,5
white,6.8,0.26,0.34,0.9949,3.33,0.53,12,6
white,5.8,0.28,0.35,0.9924,3.28,0.5,10.2,4
white,6.4,0.21,0.5,0.9972,3.15,0.43,8.8,5
white,7,0.16,0.32,0.9958,3.21,0.34,9.2,5
white,10.2,0.44,0.88,0.9968,2.99,0.51,9.9,4
white,6.8,0.57,0.29,0.9938,3.32,0.74,10.2,5
white,6.1,0.4,0.31,0.993,3.22,0.77,9.5,6
white,5.6,0.245,0.25,0.994,3.31,0.34,10.5,5
white,6.8,0.18,0.38,0.9918,3.32,0.59,11.2,7
white,7,0.16,0.32,0.9958,3.21,0.34,9.2,5
white,6.7,0.13,0.29,0.9944,3.44,0.37,9.7,6
white,6.2,0.25,0.25,0.9912,3.3,0.44,11.1,7
white,5.8,0.26,0.24,0.9961,3.31,0.38,9.4,5
white,7.5,0.27,0.36,0.9939,3.03,0.33,11,5
white,5.8,0.26,0.24,0.9961,3.31,0.38,9.4,5
white,5.7,0.28,0.24,0.9989,3.31,0.44,9.4,5
white,7.5,0.23,0.36,0.9938,3.04,0.32,11,5
white,7.5,0.27,0.36,0.9939,3.03,0.33,11,5
white,7.2,0.685,0.21,0.9971,3,0.55,9.1,6
white,6.2,0.25,0.25,0.9912,3.3,0.44,11.1,7
white,6.5,0.19,0.3,0.9936,3.42,0.39,9.1,6
white,6.3,0.495,0.22,0.9929,3.39,,10.4,6
white,7.1,0.24,0.41,0.9998,3.32,0.39,8.7,5
white,6.4,0.17,0.32,0.9938,3.5,0.5,9.7,6
white,7.1,0.25,0.32,0.9969,3.17,0.52,9.1,6
white,6.4,0.17,0.32,0.9938,3.5,0.5,9.7,6
white,7.1,0.24,0.41,0.9998,3.32,0.39,8.7,5
white,6.8,0.64,0.08,0.9972,3.37,0.46,8.9,4
white,8.3,0.28,0.4,0.9976,3.34,0.51,9.6,6
white,8.2,0.27,0.39,0.9976,3.31,0.51,9.5,6
white,7.2,0.23,0.38,0.9979,3.09,0.44,9,6
white,7.2,0.23,0.38,0.9979,3.09,0.44,9,6
white,7.2,0.23,0.38,0.9979,3.09,0.44,9,6
white,7.2,0.23,0.38,0.9979,3.09,0.44,9,6
white,6.8,0.52,0.32,0.9972,3.27,0.5,9.6,6
white,7,0.26,0.59,0.9918,3.34,0.41,11.1,7
white,6.2,0.25,0.21,0.9982,3.48,0.64,9.6,6
white,7.3,0.32,0.23,0.9985,3.2,0.46,8.7,5
white,7.7,0.31,0.26,0.9944,3.13,0.5,10.4,5
white,7.1,0.21,0.37,0.9903,3.15,0.38,11.4,7
white,6.8,0.24,0.34,0.9934,3.3,0.58,9.7,6
white,6.9,0.4,0.56,0.9975,3.14,0.46,8.7,5
white,6.1,0.18,0.36,0.9923,3.37,0.79,11.3,6
white,6.8,0.21,0.27,0.99,3.16,0.61,12.6,7
white,5.8,0.2,0.27,0.9905,3.25,0.36,10.9,7
white,5.6,0.19,0.26,0.9905,3.25,0.37,10.9,7
white,,0.41,0.14,0.996,3.38,0.45,10,5
white,5.9,0.21,0.28,0.9964,3.72,0.7,10,4
white,8.5,0.26,0.21,0.998,3.02,0.5,9.8,3
white,6.9,0.4,0.56,0.9975,3.14,0.46,8.7,5
white,5.8,0.24,0.44,0.9913,3.53,0.43,11.7,3
white,5.8,0.24,0.39,0.9932,3.21,0.52,9.3,6
white,6.7,0.26,0.39,0.9935,3.32,0.58,9.6,8
white,6.3,0.35,0.3,0.9927,3.27,0.41,11,7
white,6.3,0.35,0.3,0.9927,3.27,0.41,11,7
white,6.4,0.23,0.39,0.9912,3.32,0.5,11.8,6
white,5.8,0.36,0.38,0.9904,3.28,0.34,11.4,4
white,6.9,0.115,0.35,0.9939,3.32,0.42,10.2,6
white,6.9,0.29,0.4,0.9996,2.93,0.47,8.9,5
white,6.9,0.28,0.4,0.9944,3.17,0.33,10.2,5
white,7.2,0.29,0.4,0.9977,3.08,0.59,9.6,6
white,6.2,0.24,0.35,0.9912,3.1,0.48,10.6,6
white,6.9,0.29,0.4,0.9996,2.93,0.47,8.9,5
white,6.9,0.32,0.26,0.9965,3.25,0.51,9.2,6
white,,0.58,0.07,0.9944,3.34,0.57,9.7,5
white,5.3,0.585,,0.9945,3.34,0.57,9.7,6
white,5.4,0.59,0.07,0.9944,3.34,0.57,9.7,6
white,6.9,0.32,0.26,0.9965,3.25,0.51,9.2,6
white,5.2,0.6,0.07,0.9944,3.33,0.58,9.7,5
white,5.8,0.25,0.26,0.9972,3.29,0.38,9.3,5
white,6.6,0.58,0.3,0.9949,3.24,0.38,9,5
white,7,0.29,0.54,0.9966,3.05,0.61,9.5,5
white,6.6,0.19,0.41,0.9954,3.14,0.57,9.8,6
white,6.7,0.2,0.41,0.9954,3.14,0.58,9.8,6
white,7.7,0.26,0.4,0.9915,2.89,0.5,10.6,5
white,6.8,0.32,0.34,0.9919,3.05,0.47,10.6,4
white,7,0.3,0.49,0.9916,3.26,0.68,12.4,7
white,7,0.24,0.36,0.99,3.19,0.38,12.6,8
white,6.1,0.31,0.58,0.9909,3.3,0.6,12.3,8
white,6.8,0.44,0.37,0.9938,3.08,0.65,10.5,4
white,6.7,0.34,0.3,0.9982,3.19,0.49,9.3,5
white,7.1,0.35,0.24,0.9988,3.12,0.49,8.8,5
white,7.3,0.32,0.25,0.9961,3.08,0.47,8.8,5
white,6.5,0.28,0.33,0.9978,3.22,0.51,9.7,6
white,7.2,0.23,0.39,0.9979,2.98,0.48,9,7
white,7.2,0.23,0.39,0.9979,2.98,0.48,9,7
white,7.2,0.23,0.39,0.9979,2.98,0.48,9,7
white,7.2,0.23,0.39,0.9979,2.98,0.48,9,7
white,5.9,0.15,0.31,0.9945,3.52,0.46,10.5,6
white,7.4,0.28,0.42,1,2.96,0.44,9.1,5
white,6.2,0.28,0.22,0.9957,3.44,0.64,9.8,7
white,9.1,0.59,0.38,0.9968,3.23,0.38,8.5,3
white,6.3,0.33,0.27,0.9934,3.37,0.54,9.4,6
white,8.3,0.39,0.7,0.9976,3.09,0.57,9.4,5
white,7.2,0.19,0.46,0.9932,3.19,0.6,11.2,7
white,7.5,0.17,0.44,0.997,3.17,0.45,10,6
white,6.7,0.17,0.5,0.9923,3.15,0.45,10.3,6
white,6.1,0.41,0,0.9914,3.27,0.67,10.8,6
white,8.3,0.2,0.35,0.992,3.13,0.38,10.5,6
white,6.1,0.41,0,0.9914,3.27,0.67,10.8,6
white,6,0.29,0.21,0.9914,3.32,0.43,11.1,6
white,7.3,0.41,0.24,0.9949,3.2,0.41,9.9,6
white,7.3,0.41,0.24,0.9949,3.2,0.41,9.9,6
white,7.2,0.43,0.24,0.995,3.2,0.41,9.9,5
white,7.3,0.4,0.24,0.995,3.2,0.41,9.9,6
white,6.2,0.33,0.27,0.9927,3.2,0.42,10.4,7
white,6.2,0.31,0.26,0.9928,3.21,0.41,10.4,6
white,6.1,0.36,0.27,0.9917,3.4,0.71,11.5,7
white,5,0.55,0.14,0.9918,3.53,0.51,12.5,8
white,7.8,0.25,0.41,0.9954,3.36,0.45,10,6
white,5.7,0.36,0.21,0.9941,3.29,0.63,10,6
white,5.8,0.34,0.21,0.9941,3.29,0.62,10,5
white,6.8,0.28,0.6,0.9934,3.09,0.44,9.1,6
white,6.8,0.25,0.34,0.9927,3.21,0.38,10.6,6
white,6.6,0.24,0.35,0.9938,3.19,0.37,10.5,5
white,5.9,0.3,0.47,0.9933,3.52,0.43,11.5,7
white,6.1,0.125,0.25,0.9934,3.54,0.59,10.1,6
white,6,0.1,0.24,0.9927,3.61,0.61,10.3,7
white,6.6,0.24,0.35,0.9938,3.19,0.37,10.5,5
white,6.8,0.25,0.34,0.9927,3.21,0.38,10.6,6
white,6.8,0.28,0.44,0.9946,3.16,0.36,10.4,6
white,8.3,0.41,0.51,0.993,3.02,0.55,11.4,5
white,7.5,0.27,0.31,0.9946,3.18,0.59,10.5,5
white,7.9,0.26,0.41,0.9976,2.96,0.6,10,6
white,6.4,0.34,0.23,0.9944,3.19,0.65,10,6
white,6.5,0.28,0.35,0.9978,3.23,0.5,9.6,6
white,7.2,0.21,0.41,0.992,3.17,0.51,10.4,5
white,6.4,0.32,0.35,0.9912,3.36,0.6,12.5,8
white,6.8,0.24,0.34,0.9927,3.2,0.39,10.6,5
white,6.3,0.23,0.3,0.9906,3.28,0.4,11.8,6
white,6.5,0.28,0.34,0.9954,3.11,0.44,9.8,5
white,5.6,0.26,0.26,0.9923,3.25,0.38,10.8,5
white,6.3,0.23,0.3,0.9906,3.28,0.4,11.8,6
white,6.3,0.23,0.33,0.991,3.32,0.42,11.2,6
white,5.8,0.27,0.27,0.9972,3.28,0.42,9.3,6
white,5.9,0.26,0.4,0.9945,3.45,0.53,10.4,5
white,6.6,0.18,0.35,0.9934,3.43,0.85,10.2,7
white,7.4,0.2,0.43,0.9964,3.19,0.55,9,7
white,8,0.24,0.36,0.9948,3.2,0.54,10,6
white,6.4,0.26,0.42,0.9962,3.18,0.47,9.1,6
white,5.4,0.31,0.47,0.9931,3.29,0.76,10,5
white,5.4,0.29,0.47,0.993,3.29,0.75,10,6
white,7.1,0.145,0.33,0.9942,3.28,0.4,9.6,6
white,5.6,0.34,0.1,0.9906,3.36,0.51,11.2,7
white,6.7,0.19,0.41,0.9995,3.2,0.44,8.8,6
white,7.8,0.18,0.46,0.998,3.15,0.5,10,6
white,7.6,0.17,0.45,0.997,3.15,0.47,10,5
white,6.3,0.12,0.36,0.9914,3.27,0.74,11.4,7
white,7.3,0.33,0.4,0.992,3.03,0.3,11.9,7
white,5.5,0.335,0.3,0.9924,3.14,0.51,9.6,6
white,7.3,0.33,0.4,0.992,3.03,0.3,11.9,7
white,5.8,0.4,0.42,0.9937,3.25,0.57,9.6,6
white,7.3,0.22,0.37,0.9978,2.89,0.38,9,6
white,7.3,0.22,0.37,0.9978,2.89,0.38,9,6
white,6.1,0.36,0.33,0.9927,3.15,0.78,9.5,6
white,10,0.2,0.39,0.994,3,0.42,10.4,6
white,6.9,0.24,0.34,0.9935,3.2,0.59,10.6,6
white,6.4,0.24,0.32,0.9968,3.28,0.5,10.2,6
white,7.1,0.365,0.14,0.9941,3.15,0.43,8.9,5
white,6.8,0.15,0.3,0.9942,3.4,0.39,9.7,6
white,7.3,0.22,0.37,0.9978,2.89,0.38,9,6
white,6.8,0.16,0.4,0.9923,3.49,0.42,11.4,7
white,7,0.2,0.37,0.9932,3.28,0.61,10.2,6
white,5.9,0.26,0.25,0.9977,3.33,0.43,9.4,5
white,7.4,0.38,0.27,0.99535,3.17,0.43,10,5
white,7.4,0.2,1.66,0.99165,3.26,0.55,12.2,6
white,7,0.21,0.34,0.9953,3.22,0.56,10.5,6
white,7.2,0.29,0.4,0.9928,3.04,0.32,11.5,6
white,6.9,0.18,0.38,0.9958,3.3,0.54,9.8,6
white,7.3,0.3,0.42,0.9928,3.04,0.32,11.4,6
white,7.2,0.29,0.4,0.9928,3.04,0.32,11.5,6
white,6.9,0.2,0.5,0.9964,3.15,0.55,10.2,6
white,6.7,0.2,0.42,0.9987,3.16,0.5,9.4,6
white,7,0.21,0.34,0.9953,3.22,0.56,10.5,6
white,5.9,0.35,0.47,0.9932,3.09,0.5,9.1,5
white,7.1,0.28,0.44,0.9907,3.25,0.48,12.2,7
white,5.8,0.25,0.28,0.99755,3.42,0.43,9.5,5
white,6.8,0.22,0.37,0.99935,3.4,0.85,9.3,6
white,7.1,0.14,0.4,0.9932,3.3,0.96,9.8,7
white,7.1,0.13,0.4,0.9932,3.3,0.97,9.8,7
white,6.9,0.18,0.38,0.9958,3.3,0.54,9.8,6
white,7,0.2,0.38,0.99585,3.3,0.54,9.8,6
white,6.8,0.24,0.49,1.00055,3,0.56,8.7,5
white,5,0.44,0.04,0.9985,3.37,0.57,10.2,6
white,6.3,0.3,0.28,0.99505,3.22,0.69,9.5,6
white,7.2,0.27,0.42,0.992,2.94,0.46,11,6
white,6.7,0.5,0.63,0.9988,3.08,0.44,9.2,5
white,6.8,0.2,0.36,0.99175,3.21,0.6,10.9,6
white,6.7,0.11,0.34,0.9962,3.42,0.4,9.3,7
white,6.7,0.11,0.34,0.9962,3.42,0.4,9.3,7
white,6.8,0.12,0.31,0.9942,3.41,0.46,9.8,7
white,6.6,0.16,0.57,0.9927,3.12,0.39,9.3,7
white,6.6,0.21,0.6,0.9927,3.12,0.39,9.3,7
white,6.1,0.27,0.3,0.99985,3.4,0.45,9.4,5
white,9.1,0.27,0.45,0.997,3.2,0.46,10.4,9
white,6.4,0.225,0.48,0.9918,3.24,0.58,12.1,6
white,8.3,0.14,0.45,0.99215,3.02,0.56,11,6
white,7.2,0.23,0.19,0.99865,3.12,0.53,9,5
white,6.9,0.22,0.37,0.9992,3.37,0.82,9.5,7
white,8.1,0.17,0.44,1.0006,3.28,0.75,8.8,8
white,6,0.395,0,0.99135,3.37,0.38,11.2,4
white,7.8,0.29,0.22,0.99715,3.08,0.61,9.3,6
white,6.9,0.22,0.37,0.9992,3.37,0.82,9.5,7
white,8.1,0.17,0.44,1.0006,3.28,0.75,8.8,8
white,7.2,0.23,0.19,0.99865,3.12,0.53,9,5
white,7.6,0.3,0.27,0.99815,3.27,0.3,9.3,6
white,7.7,0.34,0.28,0.99815,3.27,0.29,9.2,6
white,7.7,0.34,0.28,0.99815,3.27,0.29,9.2,6
white,5.8,0.34,0.16,0.9949,3.46,0.45,10,7
white,7.6,0.3,0.27,0.99815,3.27,0.3,9.3,6
white,7.7,0.34,0.28,0.99815,3.27,0.29,9.2,6
white,5.9,0.24,0.3,0.99225,3.39,0.69,10.9,7
white,6.4,0.46,0.08,0.99445,3.1,0.56,10,5
white,5.9,0.24,0.3,0.99225,3.39,0.69,10.9,7
white,7.4,0.32,0.27,0.99335,3.03,0.52,9.3,5
white,7.2,0.31,0.26,0.99625,3.09,0.43,9,5
white,7.8,0.42,0.23,0.9971,3.02,0.58,9.2,6
white,6.9,0.24,0.33,0.9983,3.28,0.77,9.6,6
white,5.4,0.18,0.24,0.99445,3.42,0.4,9.4,6
white,6,0.18,0.31,0.99085,3.34,0.58,11.1,8
white,7.8,0.27,0.58,0.9977,3.06,0.41,8.9,6
white,6,0.28,0.49,0.9953,3.19,0.47,9.3,5
white,6.8,0.39,0.35,0.99775,3.07,0.53,9.3,5
white,6.6,0.21,0.31,0.99795,3.41,0.44,9.8,7
white,7.3,0.32,0.34,0.99505,3.22,0.46,9.8,6
white,7.8,0.27,0.58,0.9977,3.06,0.41,8.9,6
white,6.4,0.31,0.26,0.9975,3.17,0.41,9.6,5
white,6.2,0.29,0.26,0.99745,3.16,0.41,9.6,6
